Tournament Id,Stage Name,Group Name,Group Stage,Knockout Stage,Match Date,Home Team Name,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,year,home_elo,home_rank,home_conf,home_is_host,home_elo_max,home_elo_avg,home_elo_min,home_wins,home_losses,home_draws,home_goals_for,home_goals_against,home_matches_total,away_elo,away_rank,away_conf,away_is_host,away_elo_max,away_elo_avg,away_elo_min,away_wins,away_losses,away_draws,away_goals_for,away_goals_against,away_matches_total,elo_diff,rank_diff,goal_diff,home_win_rate,away_win_rate,home_goals_per_match,away_goals_per_match
WC-1950,group stage,not applicable,1,0,1950-07-16,Uruguay,Brazil,2,1,1,-1,0,0,0-0,0,0,2,1,0,0,1950,1872,11,CONMEBOL,0,2104,1929,1718,124,100,49,519,412,273,2013,2,CONMEBOL,0,2066,1903,1805,60,36,19,292,191,115,-141,9,1,0.4542124542124542,0.5217391304347826,1.901098901098901,2.5391304347826087
WC-1954,group stage,Group 1,1,0,1954-06-16,Brazil,Mexico,5,0,5,-5,0,0,0-0,0,0,2,1,0,0,1954,2011,4,CONMEBOL,0,2072,1914,1805,73,40,21,339,208,134,1659,27,CONCACAF,1,1860,1714,1498,31,17,2,155,97,50,352,-23,5,0.5447761194029851,0.62,2.529850746268657,3.1
WC-1954,group stage,Group 3,1,0,1954-06-16,Austria,Scotland,1,0,1,-1,0,0,0-0,0,0,2,1,0,0,1954,1949,6,UEFA,0,2070,1886,1785,122,87,51,623,489,260,1809,13,UEFA,0,2104,1962,1781,152,55,48,643,325,255,140,-7,1,0.46923076923076923,0.596078431372549,2.396153846153846,2.5215686274509803
WC-1954,group stage,Group 4,1,0,1954-06-17,England,Belgium,4,4,0,0,1,0,0-0,0,0,1,0,0,1,1954,2002,5,UEFA,0,2213,1998,1810,241,76,55,1214,478,372,1782,15,UEFA,0,1930,1681,1503,89,121,49,527,642,259,220,-10,0,0.6478494623655914,0.3436293436293436,3.263440860215054,2.034749034749035
WC-1954,group stage,Group 3,1,0,1954-06-19,Uruguay,Scotland,7,0,7,-7,0,0,0-0,0,0,2,1,0,0,1954,1941,7,CONMEBOL,0,2104,1925,1718,135,107,52,580,447,294,1809,13,UEFA,0,2104,1962,1781,152,55,48,643,325,255,132,-6,7,0.45918367346938777,0.596078431372549,1.9727891156462585,2.5215686274509803
WC-1954,group stage,Group 1,1,0,1954-06-19,France,Mexico,3,2,1,-1,0,0,0-0,0,0,2,1,0,0,1954,1805,14,UEFA,0,1809,1623,1514,78,119,28,414,604,225,1659,27,CONCACAF,1,1860,1714,1498,31,17,2,155,97,50,146,-13,1,0.3466666666666667,0.62,1.84,3.1
WC-1954,group stage,Group 2,1,0,1954-06-20,Turkey,South Korea,7,0,7,-7,0,0,0-0,0,0,2,1,0,0,1954,1641,35,UEFA,0,1667,1429,1358,23,39,11,139,177,73,1574,48,AFC,0,1766,1706,1574,11,5,4,63,60,20,67,-13,7,0.3150684931506849,0.55,1.904109589041096,3.15
WC-1954,group stage,Group 4,1,0,1954-06-20,England,Switzerland,2,0,2,-2,0,0,0-0,0,0,2,1,0,0,1954,2002,5,UEFA,0,2213,1998,1810,241,76,55,1214,478,372,1723,20,UEFA,0,1803,1630,1485,75,141,43,430,648,259,279,-15,2,0.6478494623655914,0.28957528957528955,3.263440860215054,1.6602316602316602
WC-1954,quarter-finals,not applicable,0,1,1954-06-26,Austria,Switzerland,7,5,2,-2,0,0,0-0,0,0,2,1,0,0,1954,1949,6,UEFA,0,2070,1886,1785,122,87,51,623,489,260,1723,20,UEFA,0,1803,1630,1485,75,141,43,430,648,259,226,-14,2,0.46923076923076923,0.28957528957528955,2.396153846153846,1.6602316602316602
WC-1954,quarter-finals,not applicable,0,1,1954-06-26,Uruguay,England,4,2,2,-2,0,0,0-0,0,0,2,1,0,0,1954,1941,7,CONMEBOL,0,2104,1925,1718,135,107,52,580,447,294,2002,5,UEFA,0,2213,1998,1810,241,76,55,1214,478,372,-61,2,2,0.45918367346938777,0.6478494623655914,1.9727891156462585,3.263440860215054
